x,y,z,Fx,Fy,Fz,Fr,hoop_s
3.0,0.0,-42.714285714285715,6825389.4366609175,214496.50428599297,334865.21569207084,6825389.436660918,16050746.836805858
2.9940801852848145,0.18837155858794014,-42.714285714285715,6798452.742778227,642642.9931496739,334865.2156920709,6825389.436660904,16050746.836805858
2.976344103943433,0.3759997006929128,-42.714285714285715,6744685.661837623,1068253.2637150772,334865.215692071,6825389.436661107,16050746.836805858
2.9468617521860656,0.5621439437571739,-42.714285714285715,6664300.387943178,1489647.6266870005,334865.2156920709,6825389.436660953,16050746.836805858
2.905749483385894,0.7460696614945646,-42.714285714285715,6557614.165046521,1905163.0310316775,334865.2156920706,6825389.436660569,16050746.836805858
2.853169548885461,0.9270509831248424,-42.714285714285715,6425048.034929885,2313159.6272791466,334865.21569207084,6825389.4366607135,16050746.836805858
2.7893294576647536,1.104373658054034,-42.714285714285715,6267125.175544513,2712027.239259783,334865.21569207055,6825389.436660738,16050746.836805858
2.7144811573980583,1.277337874695218,-42.714285714285715,6084468.836268266,3100191.718734434,334865.215692071,6825389.436660619,16050746.836805858
2.6289200401315904,1.4452610223051459,-42.714285714285715,5877799.878224753,3476121.1578381327,334865.21569207055,6825389.436660588,16050746.836805858
2.532983776506045,1.6074803849369896,-42.714285714285715,5647933.929373455,3838331.9348206646,334865.21569207025,6825389.4366608225,16050746.836805858
2.427050983124843,1.7633557568774192,-42.714285714285715,5395778.165598376,4185394.5692235385,334865.2156920709,6825389.43666097,16050746.836805858
2.311539728327368,1.9122719692460688,-42.714285714285715,5122327.730499941,4515939.363386285,334865.2156920713,6825389.436660702,16050746.836805858
2.186905882264235,2.0536413177860657,-42.714285714285715,4828661.808018359,4828661.8080183435,334865.21569207177,6825389.436660681,16050746.836805858
2.053641317786066,2.186905882264235,-42.714285714285715,4515939.363386235,5122327.730499885,334865.2156920712,6825389.436660627,16050746.836805858
1.9122719692460692,2.311539728327368,-42.714285714285715,4185394.5692232368,5395778.165598007,334865.21569206985,6825389.436660494,16050746.836805858
1.7633557568774196,2.4270509831248424,-42.714285714285715,3838331.9348205645,5647933.9293733,334865.2156920721,6825389.436660635,16050746.836805858
1.6074803849369896,2.532983776506045,-42.714285714285715,3476121.157838333,5877799.878225082,334865.2156920714,6825389.436660972,16050746.836805858
1.4452610223051454,2.628920040131591,-42.714285714285715,3100191.718734627,6084468.836268661,334865.21569206996,6825389.436661058,16050746.836805858
1.277337874695218,2.7144811573980583,-42.714285714285715,2712027.239259922,6267125.175544788,334865.21569207055,6825389.436661046,16050746.836805858
1.1043736580540342,2.789329457664754,-42.714285714285715,2313159.6272792327,6425048.034930168,334865.2156920713,6825389.43666101,16050746.836805858
0.9270509831248426,2.853169548885461,-42.714285714285715,1905163.031031759,6557614.165046818,334865.2156920722,6825389.436660877,16050746.836805858
0.7460696614945643,2.905749483385894,-42.714285714285715,1489647.6266868901,6664300.387942593,334865.21569207014,6825389.436660355,16050746.836805858
0.5621439437571742,2.946861752186066,-42.714285714285715,1068253.263714944,6744685.661836769,334865.2156920713,6825389.436660244,16050746.836805858
