#coils,mean field(T),range(T),var(T),av hoop stress per coil,total volume of material 
2 2.9859847551944325 22.954690129091436 31.767746137207176 102.55323734012234 1779.3330107032089 515.0 515.0
4 2.9713537052236565 11.358276521424107 11.761587742427293 51.573087441035895 1777.769867743481 364.0 364.0
6 2.958328057190722 7.396777845972635 5.486688932333649 34.90060034170947 1775.3211673988421 297.0 297.0
8 2.947279760971594 5.357745888513389 2.7302164392970414 26.64590214397721 1786.2497505808026 258.0 258.0
10 2.938249675012369 4.118616711144335 1.3862571606862972 22.00022716945588 1789.9328642498626 231.0 231.0
12 2.931062564828962 3.301683648095394 0.7113745862218719 19.082863007884264 1792.0863787995306 211.0 211.0
14 2.9254405686123817 2.745906736350199 0.37214063522203733 17.197085599864643 1785.706340367335 195.0 195.0
16 2.921085636302416 2.361762279871752 0.2033804066936055 15.884810165806888 1777.769867743481 182.0 182.0
18 2.9177252751207283 2.094888615204025 0.12073079091992533 14.791738310632164 1786.2497505808035 172.0 172.0
20 2.9151308688347646 1.9094596799148886 0.08106066177429773 14.04809769324254 1782.4525878545967 163.0 163.0
22 2.913120080540129 1.780476337623934 0.0625358455852612 13.34242815057526 1795.9103765980053 156.0 156.0
24 2.9115518672947367 1.6913135583068337 0.05424693431957355 12.925482934515406 1787.296318399333 149.0 149.0
26 2.910319096978552 1.6295933741626074 0.05081726303366501 12.56158463288606 1783.4387767605185 143.0 143.0
28 2.9093412152187677 1.587092723972962 0.0496339973365903 12.202473462339691 1788.664907085105 138.0 138.0
30 2.9085579339020766 1.5577560197815634 0.04944690153730203 11.990496908939527 1780.0709751906336 133.0 133.0
32 2.9079241716528417 1.5376606686915348 0.049669062670354994 11.720714054580016 1786.249750580804 129.0 129.0
34 2.9074061561181552 1.5239332554029157 0.05003230127803638 11.553088755644625 1782.0165179302114 125.0 125.0
36 2.906978490463164 1.514548602974958 0.05041932415635186 11.28749523586402 1797.3594705005862 122.0 122.0
38 2.906621975463578 1.50811386155254 0.05078288917752768 11.095030598836628 1805.0544274740125 119.0 119.0
40 2.9063220047282567 1.5036852110634562 0.05110734905921544 10.966366728580551 1805.4636623261285 116.0 116.0
42 2.9060673863626754 1.5007443735788 0.05139062812519904 10.894728768236067 1798.949448532584 113.0 113.0
44 2.905849478363376 1.4987001805931175 0.05163594896789677 10.875303760731601 1785.8740595690244 110.0 110.0
