X,Y,Z
0.6125000000000002 , 4.2134786922472225 , -1.0608811196359371
0.6281557638679477 , 4.497043044312834 , -1.0879976980865234
0.6431504196148797 , 4.609041194312896 , -1.1139692036822144
0.6581038161686871 , 4.694038649499658 , -1.139869246259134
0.6730270989335971 , 4.76477676134148 , -1.1657171302236753
0.6879238171014198 , 4.826247423958974 , -1.1915190029563785
0.7027958372427309 , 4.881033734461666 , -1.2172780974523167
0.7176444473495102 , 4.930681868590203 , -1.2429966445790392
0.7324706774769173 , 4.976206079897569 , -1.2686764284444167
0.7472754119395374 , 5.01831521651847 , -1.2943189807262407
0.7620594496825569 , 5.057528365693001 , -1.3199256852381662
0.7768235172717861 , 5.094239480686317 , -1.3454978004290923
0.7915682996729707 , 5.128756204389147 , -1.3710365126944914
0.8062944323513355 , 5.161324342282564 , -1.3965429226924195
0.8210025149487628 , 5.1921441078261665 , -1.422018069033083
0.8356931232641698 , 5.221381241740947 , -1.447462949029462
0.8503667938474062 , 5.24917480606249 , -1.4728784920131563
0.8650240408193739 , 5.2756429063956425 , -1.4982655884676894
0.8796653585691672 , 5.300886891949941 , -1.5236250947000913
0.8942912128981724 , 5.324994507988036 , -1.5489578175020295
0.9089020506904565 , 5.348042354579151 , -1.5742645308994132
0.9234982995304162 , 5.370097781257936 , -1.5995459754901415
0.9380803677057331 , 5.391220385889197 , -1.6248028584492238
0.9526486496478017 , 5.411463221381823 , -1.6500358629518748
0.9672035196276665 , 5.430873752454591 , -1.6752456372545594
0.9817453385371135 , 5.449494658528458 , -1.7004328064401877
0.9962744462534805 , 5.467364473463385 , -1.7255979591935762
1.0107911863647911 , 5.484518160029827 , -1.7507416906266393
1.0252958718528518 , 5.500987508451995 , -1.7758645428397672
1.0397888090110612 , 5.516801558500769 , -1.8009670463486889
1.0542702931954009 , 5.5319869127932595 , -1.8260497127249704
1.0687406126362753 , 5.54656801520777 , -1.8511130411983165
1.083200033305238 , 5.560567369859002 , -1.8761574924449715
1.0976488256210797 , 5.574005777860043 , -1.90118353484402
