R,Z,Connection
1.35,4.2134786922472225,spline
1.377161272304793,4.465100294937864,spline
1.4043225446095857,4.567860166408806,spline
1.4314838169143784,4.645702314622381,spline
1.4586450892191714,4.710478592085351,spline
1.485806361523964,4.76679930972548,spline
1.5129676338287568,4.817038395919652,spline
1.5401289061335497,4.86261152260601,spline
1.5672901784383424,4.904444541930932,spline
1.594451450743135,4.943182901552354,spline
1.621612723047928,4.979298228637616,spline
1.6487739953527207,5.0131477959879795,spline
1.6759352676575134,5.045010116960547,spline
1.7030965399623064,5.0751074024209775,spline
1.730257812267099,5.103620402503645,spline
1.7574190845718918,5.130698548914963,spline
1.7845803568766847,5.156467097117862,spline
1.8117416291814774,5.181032313490388,spline
1.8389029014862701,5.204485297159719,spline
1.866064173791063,5.226904861604318,spline
1.8932254460958557,5.248359754485706,spline
1.9203867184006485,5.268910378962554,spline
1.9475479907054414,5.288610153545669,spline
1.974709263010234,5.3075065992104635,spline
2.001870535315027,5.325642213934033,spline
2.0290318076198197,5.343055191192298,spline
2.056193079924612,5.359780007075589,spline
2.083354352229405,5.375847913187955,spline
2.110515624534198,5.391287332944148,spline
2.1376768968389905,5.4061242175453605,spline
2.1648381691437835,5.420382333244877,spline
2.1919994414485764,5.434083509141449,spline
2.219160713753369,5.447247847652706,spline
2.246321986058162,5.459893914950946,spline
2.2734832583629547,5.472038891089075,spline
2.300644530667747,5.48369871239959,spline
2.32780580297254,5.494888191216033,spline
2.354967075277333,5.505621125658843,spline
2.3821283475821255,5.515910385327485,spline
2.4092896198869185,5.525768000181624,spline
2.4364508921917114,5.535205229636612,spline
2.463612164496504,5.544232629751353,spline
2.490773436801297,5.552860111520955,spline
2.5179347091060897,5.561096984759684,spline
2.5450959814108822,5.568952018484655,spline
2.572257253715675,5.5764334690188075,spline
2.599418526020468,5.583549129129761,spline
2.6265797983252606,5.59030635183037,spline
2.6537410706300535,5.596712090300304,spline
2.6809023429348464,5.602772917699602,spline
2.708063615239639,5.6084950598975185,spline
2.735224887544432,5.613884412129053,spline
2.7623861598492248,5.618946566008478,spline
2.7895474321540172,5.62368682340835,spline
2.81670870445881,5.628110219096064,spline
2.843869976763603,5.632221532880431,spline
