X,Y,Z
-2.2502884934332614e-16 , 4.2134786922472225 , 1.225
-2.3078068367605277e-16 , 4.497043044312834 , 1.2563115277358952
-2.362896308254918e-16 , 4.609041194312896 , 1.2863008392297592
-2.417834195932922e-16 , 4.694038649499658 , 1.316207632337374
-2.472661447345376e-16 , 4.76477676134148 , 1.346054197867194
-2.5273911020114484e-16 , 4.826247423958974 , 1.3758476342028394
-2.5820300176001833e-16 , 4.881033734461666 , 1.4055916744854615
-2.636582926117346e-16 , 4.930681868590203 , 1.43528889469902
-2.6910536119241995e-16 , 4.976206079897569 , 1.4649413549538344
-2.745445323939822e-16 , 5.01831521651847 , 1.4945508238790746
-2.799760997441209e-16 , 5.057528365693001 , 1.5241188993651134
-2.8540033017878433e-16 , 5.094239480686317 , 1.5536470345435718
-2.9081747535030485e-16 , 5.128756204389147 , 1.583136599345941
-2.962277687248184e-16 , 5.161324342282564 , 1.6125888647026705
-3.0163143060717867e-16 , 5.1921441078261665 , 1.642005029897525
-3.070286725424759e-16 , 5.221381241740947 , 1.6713862465283391
-3.1241969165592683e-16 , 5.24917480606249 , 1.700733587694812
-3.178046768324866e-16 , 5.2756429063956425 , 1.7300480816387473
-3.231838097077617e-16 , 5.300886891949941 , 1.7593307171383339
-3.285572614144052e-16 , 5.324994507988036 , 1.7885824257963443
-3.339251961349598e-16 , 5.348042354579151 , 1.8178041013809125
-3.3928777096138424e-16 , 5.370097781257936 , 1.846996599060832
-3.4464513589613936e-16 , 5.391220385889197 , 1.8761607354114658
-3.499974358509685e-16 , 5.411463221381823 , 1.905297299295603
-3.553448083308227e-16 , 5.430873752454591 , 1.9344070392553325
-3.606873859251931e-16 , 5.449494658528458 , 1.9634906770742266
-3.660252935029879e-16 , 5.467364473463385 , 1.9925488925069605
-3.7135865729639907e-16 , 5.484518160029827 , 2.021582372729582
-3.766875922930768e-16 , 5.500987508451995 , 2.050591743705703
-3.820122110233903e-16 , 5.516801558500769 , 2.079577618022122
-3.873326219993667e-16 , 5.5319869127932595 , 2.1085405863908013
-3.9264893111513863e-16 , 5.54656801520777 , 2.13748122527255
-3.9796123608706974e-16 , 5.560567369859002 , 2.1664000666104757
-4.0326963626541184e-16 , 5.574005777860043 , 2.195297651242159
-4.085742248974717e-16 , 5.586902484299484 , 2.224174486782295
-4.138750924923072e-16 , 5.599275344884482 , 2.253031065939247
-4.191723237022298e-16 , 5.611140952191046 , 2.2818678495387346
-4.2446600514844666e-16 , 5.622514774701034 , 2.310685309124647
-4.297562161214036e-16 , 5.633411232439213 , 2.339483876334067
-4.3504303579354843e-16 , 5.643843810783293 , 2.368263982161727
-4.4032653909055094e-16 , 5.653825129293983 , 2.397026034483975
-4.456067980754751e-16 , 5.663367019399448 , 2.4257704255938606
-4.508838881999904e-16 , 5.672480599792728 , 2.454497566231142
-4.561578723899042e-16 , 5.681176299010178 , 2.483207798947958
-4.61428821462219e-16 , 5.689463955728373 , 2.511901509254117
-4.666967955317636e-16 , 5.69735282142938 , 2.540579024399504
-4.719618604280064e-16 , 5.7048516393355975 , 2.569240702743053
-4.772240730855192e-16 , 5.71196865066898 , 2.5978868542221387
-4.824834948744375e-16 , 5.718711656855533 , 2.6265178129202167
-4.877401797056007e-16 , 5.725088026831199 , 2.6551338723142295
-4.92994184898992e-16 , 5.731104746463799 , 2.683735344439631
-4.982455614992527e-16 , 5.736768426440143 , 2.712322507170507
-5.034943633356943e-16 , 5.7420853419426745 , 2.7408956535399795
-5.087406387819436e-16 , 5.747061440141587 , 2.7694550468818093
-5.139844380765848e-16 , 5.751702372256309 , 2.79800096068211
-5.192258082175788e-16 , 5.75601350273952 , 2.8265336507858647
-5.244647924679404e-16 , 5.7599999285430465 , 2.8550533527059567
-5.29701437461123e-16 , 5.7636665027058385 , 2.883560320303083
-5.349357896500331e-16 , 5.767017839419919 , 2.912054806455087
-5.401678876118269e-16 , 5.770058321591087 , 2.940537021166227
-5.453977734061032e-16 , 5.77279212827529 , 2.969007193398295
-5.506254873391581e-16 , 5.775223236815288 , 2.997465542568546
-5.558510681423814e-16 , 5.777355434275794 , 3.025912279520847
-5.61074554884419e-16 , 5.779192328408151 , 3.054347616935
-5.662959795688174e-16 , 5.780737352811499 , 3.0827717290301972
-5.715153827011564e-16 , 5.781993787050769 , 3.1111848363085457
-5.767327984154602e-16 , 5.782964748594775 , 3.1395871245870186
-5.819482681310528e-16 , 5.783653209074364 , 3.167978819341913
-5.871617791431552e-16 , 5.784061987523035 , 3.1963598514116347
-5.925262727324516e-16 , 5.784187046437383 , 3.225562794350129
-6.049625438933245e-16 , 5.783377693299725 , 3.293262701346614
-6.173887582108626e-16 , 5.781036165428972 , 3.3609078614378864
-6.298052916096126e-16 , 5.777190902510671 , 3.428500321061864
-6.42212500906165e-16 , 5.771867058414552 , 3.4960420226375932
-6.546107281654546e-16 , 5.765086767896342 , 3.56353482827985
-6.670002976248698e-16 , 5.756869369215542 , 3.630980503054766
-6.793815110282328e-16 , 5.747231609825136 , 3.6983806895792033
-6.917546613856106e-16 , 5.736187825588806 , 3.7657369829256737
